feature,mean_abs_shap
V12,0.8269965100336436
V14,0.6997576749740453
V10,0.6531184064674407
hour_of_day,0.3633998285139057
V15,0.3122342542004859
V17,0.2961610341689046
V11,0.27930247293348637
V5,0.23458638682982724
V9,0.2035666982079977
V22,0.19951152554078663
log_amount,0.1838277008930025
V25,0.1660654550873577
V1,0.1504698005562141
Amount,0.12511425450892616
V13,0.1226902245182269
V19,0.12143807947949317
V24,0.11485527764950448
V27,0.11261253543910797
V16,0.1111635740453236
V28,0.09783429325320485
V21,0.09587888695665271
V23,0.07586886461993743
V2,0.06859576771386498
V6,0.06733378863346556
V20,0.056970810476257176
V8,0.04503504124491248
V7,0.027005766567733912
V18,0.026129143666419368
V26,0.019070954482113205
V4,0.009749434047018878
V3,0.004566999410949037
quality_flag_negative_amount,0.0
